step,epoch,loss,lr
190,1,1.10273397,3.84e-06
191,1,1.09339499,3.84e-06
192,1,1.10458970,3.88e-06
193,1,1.09318471,3.88e-06
194,1,1.09956050,3.92e-06
195,1,1.07179475,3.92e-06
196,1,1.08049202,3.96e-06
197,1,1.08175731,3.96e-06
198,1,1.08268118,4e-06
199,1,1.07215333,4e-06
200,1,1.07762158,4.04e-06
201,1,1.07430756,4.04e-06
202,1,1.07331479,4.08e-06
203,1,1.07659054,4.08e-06
204,1,1.08818519,4.12e-06
205,1,1.07850432,4.12e-06
206,1,1.06890535,4.16e-06
207,1,1.05754626,4.16e-06
208,1,1.07705522,4.2e-06
209,1,1.07155681,4.2e-06
210,1,1.06016850,4.24e-06
211,1,1.06999588,4.24e-06
212,1,1.07817054,4.28e-06
213,1,1.05967891,4.28e-06
214,1,1.06749666,4.32e-06
215,1,1.05098677,4.32e-06
216,1,1.03812730,4.36e-06
217,1,1.04561996,4.36e-06
218,1,1.04191613,4.4e-06
219,1,1.05918360,4.4e-06
220,1,1.04437709,4.44e-06
221,1,1.06022680,4.44e-06
222,1,1.03641403,4.48e-06
223,1,1.03875804,4.48e-06
224,1,1.05058265,4.52e-06
225,1,1.03393126,4.52e-06
226,1,1.03159988,4.56e-06
227,1,1.03424573,4.56e-06
228,1,1.02815461,4.6e-06
229,1,1.02643621,4.6e-06
230,1,1.03345013,4.64e-06
231,1,1.03721809,4.64e-06
232,1,1.01384449,4.68e-06
233,1,1.01607263,4.68e-06
234,1,1.02470362,4.72e-06
235,1,1.00916243,4.72e-06
236,1,1.00523341,4.76e-06
237,1,1.00575280,4.76e-06
238,1,1.03518021,4.8e-06
239,1,1.00078607,4.8e-06
240,1,1.01190031,4.84e-06
241,1,1.01917374,4.84e-06
242,1,1.01334178,4.88e-06
243,1,1.00117028,4.88e-06
244,1,1.01822984,4.92e-06
245,1,0.97884130,4.92e-06
246,1,1.00741243,4.96e-06
247,1,1.00437498,4.96e-06
248,1,0.99527955,5e-06
249,1,0.98737836,5e-06
250,1,0.98405904,5.04e-06
251,1,0.98643541,5.04e-06
252,1,0.99616945,5.08e-06
253,1,0.98128927,5.08e-06
254,1,0.98393238,5.12e-06
255,1,0.97259396,5.12e-06
256,1,0.97909659,5.16e-06
257,1,0.97383189,5.16e-06
258,1,0.97860193,5.2e-06
259,1,0.97701824,5.2e-06
260,1,0.96750081,5.24e-06
261,1,0.97647846,5.24e-06
262,1,0.95813274,5.28e-06
263,1,0.97048461,5.28e-06
264,1,0.96229732,5.32e-06
265,1,0.94969815,5.32e-06
266,1,0.95796412,5.36e-06
267,1,0.95610607,5.36e-06
268,1,0.95624942,5.4e-06
269,1,0.94781435,5.4e-06
270,1,0.95153499,5.44e-06
271,1,0.94673216,5.44e-06
272,1,0.93691289,5.48e-06
273,1,0.92654455,5.48e-06
274,1,0.94475532,5.52e-06
275,1,0.94191062,5.52e-06
276,1,0.93224466,5.56e-06
277,1,0.94799495,5.56e-06
278,1,0.93671525,5.6e-06
279,1,0.92757320,5.6e-06
280,1,0.94818795,5.64e-06
281,1,0.92601681,5.64e-06
282,1,0.92768639,5.68e-06
283,1,0.91457742,5.68e-06
284,1,0.92810696,5.72e-06
285,1,0.91778314,5.72e-06
286,1,0.90723419,5.76e-06
287,1,0.91853285,5.76e-06
288,1,0.90699500,5.8e-06
289,1,0.90095842,5.8e-06
290,1,0.89933413,5.84e-06
291,1,0.91169667,5.84e-06
292,1,0.90525115,5.88e-06
293,1,0.88446754,5.88e-06
294,1,0.90545911,5.92e-06
295,1,0.87860405,5.92e-06
296,1,0.88024974,5.96e-06
297,1,0.88105857,5.96e-06
298,1,0.88574421,6e-06
299,1,0.87038559,6e-06
300,1,0.87783682,6.04e-06
301,1,0.88858175,6.04e-06
302,1,0.88289213,6.08e-06
303,1,0.87292308,6.08e-06
304,1,0.86069953,6.12e-06
305,1,0.87483072,6.12e-06
306,1,0.86492848,6.16e-06
307,1,0.87031400,6.16e-06
308,1,0.86357868,6.2e-06
309,1,0.85181016,6.2e-06
310,1,0.85658741,6.24e-06
311,1,0.84831351,6.24e-06
312,1,0.85888171,6.28e-06
313,1,0.84647834,6.28e-06
314,1,0.85448372,6.32e-06
315,1,0.83328074,6.32e-06
316,1,0.84098923,6.36e-06
317,1,0.82563245,6.36e-06
318,1,0.85319114,6.4e-06
319,1,0.83031332,6.4e-06
320,1,0.83379048,6.44e-06
321,1,0.83608049,6.44e-06
322,1,0.82062805,6.48e-06
323,1,0.81312943,6.48e-06
324,1,0.84746158,6.52e-06
325,1,0.80302662,6.52e-06
326,1,0.83442974,6.56e-06
327,1,0.81421518,6.56e-06
328,1,0.82207239,6.6e-06
329,1,0.81362438,6.6e-06
330,1,0.80089498,6.64e-06
331,1,0.80974710,6.64e-06
332,1,0.81416512,6.68e-06
333,1,0.81610298,6.68e-06
334,1,0.77972484,6.72e-06
335,1,0.79644531,6.72e-06
336,1,0.80953503,6.76e-06
337,1,0.78309393,6.76e-06
338,1,0.81694591,6.8e-06
339,1,0.79465687,6.8e-06
340,1,0.79516959,6.84e-06
341,1,0.77630985,6.84e-06
342,1,0.78131741,6.88e-06
343,1,0.79038835,6.88e-06
344,1,0.78315973,6.92e-06
345,1,0.77909648,6.92e-06
346,1,0.77811885,6.96e-06
347,1,0.75088376,6.96e-06
348,1,0.76880711,7e-06
349,1,0.75381696,7e-06
350,1,0.77464288,7.04e-06
351,1,0.75764942,7.04e-06
352,1,0.75822800,7.08e-06
353,1,0.76308775,7.08e-06
354,1,0.75482506,7.12e-06
355,1,0.76515257,7.12e-06
356,1,0.73444813,7.16e-06
357,1,0.75568199,7.16e-06
358,1,0.74573964,7.2e-06
359,1,0.72829217,7.2e-06
360,1,0.73717427,7.24e-06
361,1,0.73452920,7.24e-06
362,1,0.73614782,7.28e-06
363,1,0.72168130,7.28e-06
364,1,0.73622984,7.32e-06
365,1,0.74626362,7.32e-06
366,1,0.70426130,7.36e-06
367,1,0.71269500,7.36e-06
368,1,0.73652619,7.4e-06
369,1,0.71979380,7.4e-06
370,1,0.70522153,7.44e-06
371,1,0.69617742,7.44e-06
372,1,0.69082952,7.48e-06
373,1,0.67900789,7.48e-06
374,1,0.69192719,7.52e-06
375,1,0.68896723,7.52e-06
376,1,0.70434248,7.56e-06
377,1,0.68909442,7.56e-06
378,1,0.67869997,7.6e-06
379,1,0.66176367,7.6e-06
380,1,0.68497485,7.64e-06
381,1,0.67400664,7.64e-06
382,1,0.69030350,7.68e-06
383,1,0.68065012,7.68e-06
384,1,0.66857207,7.72e-06
385,1,0.70261908,7.72e-06
386,1,0.69001120,7.76e-06
387,1,0.66890848,7.76e-06
388,1,0.66482687,7.8e-06
389,1,0.63997591,7.8e-06
390,1,0.66420877,7.84e-06
391,2,0.68001449,7.84e-06
392,2,0.68762082,7.88e-06
393,2,0.65660238,7.88e-06
394,2,0.65858173,7.92e-06
395,2,0.64233202,7.92e-06
396,2,0.67430538,7.96e-06
397,2,0.62798554,7.96e-06
398,2,0.63065898,8e-06
399,2,0.62537307,8e-06
400,2,0.64826936,8.04e-06
401,2,0.64090019,8.04e-06
402,2,0.62639391,8.08e-06
403,2,0.63305843,8.08e-06
404,2,0.62844843,8.12e-06
405,2,0.59709162,8.12e-06
406,2,0.64427108,8.16e-06
407,2,0.62479824,8.16e-06
408,2,0.62092507,8.2e-06
409,2,0.60090846,8.2e-06
410,2,0.61297524,8.24e-06
411,2,0.57733148,8.24e-06
412,2,0.57517719,8.28e-06
413,2,0.61243969,8.28e-06
414,2,0.61467022,8.32e-06
415,2,0.59107733,8.32e-06
416,2,0.59084761,8.36e-06
417,2,0.58636701,8.36e-06
418,2,0.59523845,8.4e-06
419,2,0.59230423,8.4e-06
420,2,0.57244092,8.44e-06
421,2,0.57697344,8.44e-06
422,2,0.60418004,8.48e-06
423,2,0.60391378,8.48e-06
424,2,0.57544845,8.52e-06
425,2,0.58063948,8.52e-06
426,2,0.58679771,8.56e-06
427,2,0.58282065,8.56e-06
428,2,0.56753242,8.6e-06
429,2,0.58161962,8.6e-06
430,2,0.53796870,8.64e-06
431,2,0.57523227,8.64e-06
432,2,0.56393468,8.68e-06
433,2,0.59063607,8.68e-06
434,2,0.56203544,8.72e-06
435,2,0.54166591,8.72e-06
436,2,0.53808713,8.76e-06
437,2,0.54597449,8.76e-06
438,2,0.55126607,8.8e-06
439,2,0.52300966,8.8e-06
440,2,0.55682534,8.84e-06
441,2,0.53502506,8.84e-06
442,2,0.52854037,8.88e-06
443,2,0.50781077,8.88e-06
444,2,0.55093038,8.92e-06
445,2,0.52236575,8.92e-06
446,2,0.49040484,8.96e-06
447,2,0.52223682,8.96e-06
448,2,0.54407966,9e-06
449,2,0.52602935,9e-06
450,2,0.52848852,9.04e-06
451,2,0.52524555,9.04e-06
