model_type,solver,nfe,cfg_scale,num_samples,seconds_total,seconds_per_image,max_memory_mb,checkpoint,mean,std,min,max
unet,euler,5,1.0,80,0.788080,0.009851,565.29,checkpoints/cifar10_unet_fm.pt,-0.08240296691656113,0.26121407747268677,-0.932195782661438,0.9380674958229065
unet,euler,10,1.0,80,0.695831,0.008698,566.35,checkpoints/cifar10_unet_fm.pt,-0.0930185541510582,0.3443862199783325,-0.9998691082000732,0.989067554473877
unet,euler,20,1.0,80,1.407557,0.017594,566.47,checkpoints/cifar10_unet_fm.pt,-0.06221632659435272,0.43347176909446716,-1.0,1.0
unet,euler,50,1.0,80,2.966914,0.037086,566.58,checkpoints/cifar10_unet_fm.pt,-0.1300661414861679,0.48320281505584717,-1.0,1.0
unet,euler,100,1.0,80,5.142826,0.064285,566.70,checkpoints/cifar10_unet_fm.pt,-0.07974231988191605,0.473081111907959,-1.0,1.0
