step,epoch,loss,lr
190,1,0.79970533,3.84e-06
191,1,0.82804519,3.84e-06
192,1,0.86085349,3.88e-06
193,1,0.81270683,3.88e-06
194,1,0.80751246,3.92e-06
195,1,0.79639643,3.92e-06
196,1,0.79218638,3.96e-06
197,1,0.79653615,3.96e-06
198,1,0.82475036,4e-06
199,1,0.77614748,4e-06
200,1,0.80609685,4.04e-06
201,1,0.86181247,4.04e-06
202,1,0.82935047,4.08e-06
203,1,0.86848187,4.08e-06
204,1,0.77799100,4.12e-06
205,1,0.82326603,4.12e-06
206,1,0.83895695,4.16e-06
207,1,0.81441146,4.16e-06
208,1,0.77870232,4.2e-06
209,1,0.82722688,4.2e-06
210,1,0.79355395,4.24e-06
211,1,0.77847713,4.24e-06
212,1,0.81493920,4.28e-06
213,1,0.78797990,4.28e-06
214,1,0.79122686,4.32e-06
215,1,0.76400346,4.32e-06
216,1,0.78358412,4.36e-06
217,1,0.80915624,4.36e-06
218,1,0.79647171,4.4e-06
219,1,0.82220858,4.4e-06
220,1,0.79490066,4.44e-06
221,1,0.75962347,4.44e-06
222,1,0.83998811,4.48e-06
223,1,0.79872501,4.48e-06
224,1,0.80459946,4.52e-06
225,1,0.82989460,4.52e-06
226,1,0.79912537,4.56e-06
227,1,0.83767253,4.56e-06
228,1,0.76741850,4.6e-06
229,1,0.77745759,4.6e-06
230,1,0.79517823,4.64e-06
231,1,0.75637364,4.64e-06
232,1,0.83165157,4.68e-06
233,1,0.76421571,4.68e-06
234,1,0.78252399,4.72e-06
235,1,0.77468991,4.72e-06
236,1,0.76247025,4.76e-06
237,1,0.80067116,4.76e-06
238,1,0.78513646,4.8e-06
239,1,0.75596124,4.8e-06
240,1,0.75580078,4.84e-06
241,1,0.72705656,4.84e-06
242,1,0.76630747,4.88e-06
243,1,0.80010456,4.88e-06
244,1,0.81647533,4.92e-06
245,1,0.72266948,4.92e-06
246,1,0.78505617,4.96e-06
247,1,0.77882856,4.96e-06
248,1,0.76245105,5e-06
249,1,0.72356850,5e-06
250,1,0.74115616,5.04e-06
251,1,0.75784123,5.04e-06
252,1,0.74707496,5.08e-06
253,1,0.74040735,5.08e-06
254,1,0.74231786,5.12e-06
255,1,0.73859745,5.12e-06
256,1,0.76487279,5.16e-06
257,1,0.76257390,5.16e-06
258,1,0.74168396,5.2e-06
259,1,0.75141352,5.2e-06
260,1,0.76367080,5.24e-06
261,1,0.70227575,5.24e-06
262,1,0.72547203,5.28e-06
263,1,0.78776050,5.28e-06
264,1,0.72148114,5.32e-06
265,1,0.72378004,5.32e-06
266,1,0.72165871,5.36e-06
267,1,0.72528046,5.36e-06
268,1,0.76427633,5.4e-06
269,1,0.75891864,5.4e-06
270,1,0.74393004,5.44e-06
271,1,0.71047789,5.44e-06
272,1,0.74389786,5.48e-06
273,1,0.74054837,5.48e-06
274,1,0.74147207,5.52e-06
275,1,0.77456307,5.52e-06
276,1,0.75080645,5.56e-06
277,1,0.69826835,5.56e-06
278,1,0.72925556,5.6e-06
279,1,0.73432064,5.6e-06
280,1,0.74601215,5.64e-06
281,1,0.71325427,5.64e-06
282,1,0.74074286,5.68e-06
283,1,0.71018356,5.68e-06
284,1,0.72814447,5.72e-06
285,1,0.69185144,5.72e-06
286,1,0.74571437,5.76e-06
287,1,0.72169018,5.76e-06
288,1,0.72466302,5.8e-06
289,1,0.74241650,5.8e-06
290,1,0.71970206,5.84e-06
291,1,0.70318633,5.84e-06
292,1,0.70182747,5.88e-06
293,1,0.69941777,5.88e-06
294,1,0.71679187,5.92e-06
295,1,0.66094178,5.92e-06
296,1,0.69812518,5.96e-06
297,1,0.71693045,5.96e-06
298,1,0.70726568,6e-06
299,1,0.67249584,6e-06
300,1,0.70886755,6.04e-06
301,1,0.68685067,6.04e-06
302,1,0.71122181,6.08e-06
303,1,0.72531605,6.08e-06
304,1,0.72341198,6.12e-06
305,1,0.68218833,6.12e-06
306,1,0.68762857,6.16e-06
307,1,0.63058239,6.16e-06
308,1,0.68696809,6.2e-06
309,1,0.70380956,6.2e-06
310,1,0.66758388,6.24e-06
311,1,0.71036690,6.24e-06
312,1,0.67905068,6.28e-06
313,1,0.71802837,6.28e-06
314,1,0.73533541,6.32e-06
315,1,0.67157519,6.32e-06
316,1,0.69073886,6.36e-06
317,1,0.69611818,6.36e-06
318,1,0.63889116,6.4e-06
319,1,0.67608815,6.4e-06
320,1,0.66667473,6.44e-06
321,1,0.68012166,6.44e-06
322,1,0.59531838,6.48e-06
323,1,0.67827600,6.48e-06
324,1,0.65803462,6.52e-06
325,1,0.69574040,6.52e-06
326,1,0.62915093,6.56e-06
327,1,0.59594488,6.56e-06
328,1,0.66261357,6.6e-06
329,1,0.68589371,6.6e-06
330,1,0.67214900,6.64e-06
331,1,0.67514020,6.64e-06
332,1,0.67861688,6.68e-06
333,1,0.65944296,6.68e-06
334,1,0.66715688,6.72e-06
335,1,0.67271245,6.72e-06
336,1,0.63431537,6.76e-06
337,1,0.63151491,6.76e-06
338,1,0.62045354,6.8e-06
339,1,0.65800941,6.8e-06
340,1,0.71251172,6.84e-06
341,1,0.63325620,6.84e-06
342,1,0.64541924,6.88e-06
343,1,0.65869397,6.88e-06
344,1,0.68183750,6.92e-06
345,1,0.60415620,6.92e-06
346,1,0.65399039,6.96e-06
347,1,0.59416038,6.96e-06
348,1,0.63205403,7e-06
349,1,0.63475281,7e-06
350,1,0.66586995,7.04e-06
351,1,0.62767422,7.04e-06
352,1,0.59786999,7.08e-06
353,1,0.59855735,7.08e-06
354,1,0.63512200,7.12e-06
355,1,0.60508662,7.12e-06
356,1,0.63902432,7.16e-06
357,1,0.59531444,7.16e-06
358,1,0.60276258,7.2e-06
359,1,0.61695683,7.2e-06
360,1,0.64865559,7.24e-06
361,1,0.64506614,7.24e-06
362,1,0.66940731,7.28e-06
363,1,0.65528095,7.28e-06
364,1,0.62967968,7.32e-06
365,1,0.63274527,7.32e-06
366,1,0.60343724,7.36e-06
367,1,0.63257629,7.36e-06
368,1,0.66159290,7.4e-06
369,1,0.62197798,7.4e-06
370,1,0.61254078,7.44e-06
371,1,0.59435439,7.44e-06
372,1,0.60328555,7.48e-06
373,1,0.62985879,7.48e-06
374,1,0.61309457,7.52e-06
375,1,0.65342617,7.52e-06
376,1,0.60820049,7.56e-06
377,1,0.57088667,7.56e-06
378,1,0.62812817,7.6e-06
379,1,0.57519943,7.6e-06
380,1,0.60882479,7.64e-06
381,1,0.56693095,7.64e-06
382,1,0.62624842,7.68e-06
383,1,0.58802438,7.68e-06
384,1,0.66370571,7.72e-06
385,1,0.61272508,7.72e-06
386,1,0.63171202,7.76e-06
387,1,0.54858524,7.76e-06
388,1,0.58996803,7.8e-06
389,1,0.58024758,7.8e-06
390,1,0.54561734,7.84e-06
391,1,0.61014932,7.84e-06
392,1,0.60469025,7.88e-06
393,1,0.54451180,7.88e-06
394,1,0.61534238,7.92e-06
395,1,0.56249201,7.92e-06
396,1,0.57769936,7.96e-06
397,1,0.57946014,7.96e-06
398,1,0.59340286,8e-06
399,1,0.56550628,8e-06
400,1,0.57645732,8.04e-06
401,1,0.63046563,8.04e-06
402,1,0.55617756,8.08e-06
403,1,0.62231916,8.08e-06
404,1,0.63169026,8.12e-06
405,1,0.61862808,8.12e-06
406,1,0.57126886,8.16e-06
407,1,0.57737970,8.16e-06
408,1,0.55822903,8.2e-06
409,1,0.57278848,8.2e-06
410,1,0.58254170,8.24e-06
411,1,0.56001663,8.24e-06
412,1,0.57644093,8.28e-06
413,1,0.53713185,8.28e-06
414,1,0.61794168,8.32e-06
415,1,0.57983041,8.32e-06
416,1,0.56102699,8.36e-06
417,1,0.57665235,8.36e-06
418,1,0.60631967,8.4e-06
419,1,0.58279192,8.4e-06
420,1,0.55494606,8.44e-06
421,1,0.57381874,8.44e-06
422,1,0.56155556,8.48e-06
423,1,0.59496617,8.48e-06
424,1,0.52725834,8.52e-06
425,1,0.52675653,8.52e-06
426,1,0.56300265,8.56e-06
427,1,0.57122296,8.56e-06
428,1,0.56471837,8.6e-06
429,1,0.57671285,8.6e-06
430,1,0.57817030,8.64e-06
431,1,0.55849278,8.64e-06
432,1,0.60250539,8.68e-06
433,1,0.53019756,8.68e-06
434,1,0.53537464,8.72e-06
435,1,0.59129930,8.72e-06
436,1,0.55689865,8.76e-06
437,1,0.54590935,8.76e-06
438,1,0.55390877,8.8e-06
439,1,0.53243780,8.8e-06
440,1,0.49867281,8.84e-06
441,1,0.55295563,8.84e-06
442,1,0.56072545,8.88e-06
443,1,0.55665970,8.88e-06
444,1,0.56586492,8.92e-06
445,1,0.51576298,8.92e-06
446,1,0.53350741,8.96e-06
447,1,0.55864090,8.96e-06
448,1,0.52013981,9e-06
449,1,0.54817140,9e-06
450,1,0.56480992,9.04e-06
451,1,0.57120889,9.04e-06
452,1,0.50805801,9.08e-06
453,1,0.51835591,9.08e-06
454,1,0.55661190,9.12e-06
455,1,0.58136100,9.12e-06
456,1,0.53393573,9.16e-06
457,1,0.53343862,9.16e-06
458,1,0.56206530,9.2e-06
459,1,0.50387317,9.2e-06
460,1,0.50153458,9.24e-06
461,1,0.51969886,9.24e-06
462,1,0.49810547,9.28e-06
463,1,0.55176568,9.28e-06
464,1,0.52751130,9.32e-06
465,1,0.58630091,9.32e-06
466,1,0.48521191,9.36e-06
467,1,0.50633854,9.36e-06
468,1,0.52757204,9.4e-06
469,1,0.52722955,9.4e-06
470,1,0.50402617,9.44e-06
471,1,0.51597619,9.44e-06
472,1,0.47163814,9.48e-06
473,1,0.52661026,9.48e-06
474,1,0.52754635,9.52e-06
475,1,0.50869727,9.52e-06
476,1,0.48521641,9.56e-06
477,1,0.52135330,9.56e-06
478,1,0.48900446,9.6e-06
479,1,0.49324575,9.6e-06
480,1,0.51104504,9.64e-06
481,1,0.49676928,9.64e-06
482,1,0.54084414,9.68e-06
483,1,0.47382775,9.68e-06
484,1,0.46021715,9.72e-06
485,1,0.52615488,9.72e-06
486,1,0.48921549,9.76e-06
487,1,0.46207693,9.76e-06
488,1,0.46815369,9.8e-06
489,1,0.46944162,9.8e-06
490,1,0.55569005,9.84e-06
491,1,0.54406428,9.84e-06
492,1,0.50326699,9.88e-06
493,1,0.50950646,9.88e-06
494,1,0.49088743,9.92e-06
